"Method.Code"	"Method.Name"
200	"Teledyne-API Model 200EUP or T200UP - Photolytic-Chemiluminescence"
74	"INSTRUMENTAL - CHEMILUMINESCENCE"
99	"INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE"
212	"Teledyne Model T500U - Cavity Attenuated Phase Shift Spectroscopy"
35	"INSTRUMENTAL - CHEMILUMINESCENCE"
599	"Instrumental - Chemiluminescence Teledyne API 200 EU/501"
157	"Instrumental - Chemiluminescence"
42	"INSTRUMENTAL - CHEMILUMINESCENCE"
574	"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL"
82	"INSTRUMENTAL - CHEMILUMINESCENCE"
241	"Teledyne-API Model T200P Chemiluminescence - Photolytic-Chemiluminescence"
90	"INSTRUMENTAL - GAS-PHASE CHEMILUMINESCENCE"
186	"Instrumental - Chemiluminescence"
