"County.Code"	"County.Name"
73	"Jefferson"
13	"Maricopa"
19	"Pima"
35	"Crittenden"
119	"Pulaski"
1	"Alameda"
7	"Butte"
13	"Contra Costa"
19	"Fresno"
23	"Humboldt"
25	"Imperial"
29	"Kern"
31	"Kings"
37	"Los Angeles"
39	"Madera"
41	"Marin"
47	"Merced"
53	"Monterey"
55	"Napa"
59	"Orange"
61	"Placer"
65	"Riverside"
67	"Sacramento"
71	"San Bernardino"
73	"San Diego"
75	"San Francisco"
77	"San Joaquin"
79	"San Luis Obispo"
81	"San Mateo"
83	"Santa Barbara"
85	"Santa Clara"
95	"Solano"
97	"Sonoma"
99	"Stanislaus"
101	"Sutter"
107	"Tulare"
111	"Ventura"
113	"Yolo"
1	"Adams"
7	"Archuleta"
29	"Delta"
31	"Denver"
45	"Garfield"
59	"Jefferson"
67	"La Plata"
103	"Rio Blanco"
123	"Weld"
1	"Fairfield"
3	"Hartford"
9	"New Haven"
3	"New Castle"
1	"District of Columbia"
11	"Broward"
31	"Duval"
57	"Hillsborough"
86	"Miami-Dade"
95	"Orange"
103	"Pinellas"
89	"DeKalb"
121	"Fulton"
3	"Honolulu"
7	"Kauai"
1	"Ada"
31	"Cook"
117	"Macoupin"
163	"Saint Clair"
89	"Lake"
97	"Marion"
141	"St. Joseph"
163	"Vanderburgh"
153	"Polk"
177	"Van Buren"
133	"Neosho"
173	"Sedgwick"
191	"Sumner"
195	"Trego"
209	"Wyandotte"
19	"Boyd"
37	"Campbell"
59	"Daviess"
67	"Fayette"
111	"Jefferson"
145	"McCracken"
5	"Ascension"
19	"Calcasieu"
33	"East Baton Rouge"
47	"Iberville"
51	"Jefferson"
63	"Livingston"
71	"Orleans"
121	"West Baton Rouge"
3	"Aroostook"
5	"Cumberland"
11	"Kennebec"
5	"Baltimore"
23	"Garrett"
27	"Howard"
33	"Prince George's"
510	"Baltimore (City)"
9	"Essex"
13	"Hampden"
15	"Hampshire"
17	"Middlesex"
21	"Norfolk"
25	"Suffolk"
27	"Worcester"
65	"Ingham"
113	"Missaukee"
139	"Ottawa"
163	"Wayne"
3	"Anoka"
37	"Dakota"
53	"Hennepin"
137	"Saint Louis"
59	"Jackson"
95	"Jackson"
137	"Monroe"
189	"Saint Louis"
510	"St. Louis City"
27	"Fergus"
31	"Gallatin"
71	"Phillips"
75	"Powder River"
83	"Richland"
87	"Rosebud"
3	"Clark"
31	"Washoe"
15	"Rockingham"
3	"Bergen"
7	"Camden"
11	"Cumberland"
13	"Essex"
17	"Hudson"
23	"Middlesex"
27	"Morris"
39	"Union"
41	"Warren"
1	"Bernalillo"
13	"Dona Ana"
15	"Eddy"
25	"Lea"
45	"San Juan"
5	"Bronx"
29	"Erie"
55	"Monroe"
81	"Queens"
67	"Forsyth"
119	"Mecklenburg"
131	"Northampton"
159	"Rowan"
183	"Wake"
13	"Burke"
15	"Burleigh"
17	"Cass"
25	"Dunn"
53	"McKenzie"
57	"Mercer"
65	"Oliver"
101	"Ward"
13	"Belmont"
35	"Cuyahoga"
49	"Franklin"
61	"Hamilton"
109	"Oklahoma"
135	"Sequoyah"
143	"Tulsa"
51	"Multnomah"
67	"Washington"
3	"Allegheny"
7	"Beaver"
15	"Bradford"
21	"Cambria"
27	"Centre"
45	"Delaware"
49	"Erie"
51	"Fayette"
69	"Lackawanna"
95	"Northampton"
101	"Philadelphia"
117	"Tioga"
125	"Washington"
133	"York"
7	"Providence"
19	"Charleston"
45	"Greenville"
79	"Richland"
71	"Jackson"
99	"Minnehaha"
103	"Pennington"
127	"Union"
9	"Blount"
37	"Davidson"
157	"Shelby"
27	"Bell"
29	"Bexar"
39	"Brazoria"
113	"Dallas"
121	"Denton"
139	"Ellis"
141	"El Paso"
167	"Galveston"
183	"Gregg"
201	"Harris"
203	"Harrison"
231	"Hunt"
245	"Jefferson"
255	"Karnes"
257	"Kaufman"
339	"Montgomery"
349	"Navarro"
361	"Orange"
423	"Smith"
439	"Tarrant"
453	"Travis"
493	"Wilson"
3	"Box Elder"
5	"Cache"
7	"Carbon"
11	"Davis"
13	"Duchesne"
21	"Iron"
35	"Salt Lake"
45	"Tooele"
47	"Uintah"
49	"Utah"
53	"Washington"
57	"Weber"
7	"Chittenden"
21	"Rutland"
13	"Arlington"
36	"Charles"
59	"Fairfax"
87	"Henrico"
107	"Loudoun"
153	"Prince William"
161	"Roanoke"
165	"Rockingham"
650	"Hampton City"
710	"Norfolk City"
760	"Richmond City"
33	"King"
53	"Pierce"
59	"Kenosha"
71	"Manitowoc"
79	"Milwaukee"
5	"Campbell"
9	"Converse"
13	"Fremont"
19	"Johnson"
21	"Laramie"
25	"Natrona"
35	"Sublette"
37	"Sweetwater"
39	"Teton"
41	"Uinta"
25	"Caguas"
61	"Guaynabo"
